job_id,accuracy_pct,logloss,macro_f1_pct,prec_BENIGN,prec_DOS,prec_GAS,prec_RPM,prec_SPEED,prec_STEERING_WHEEL,rec_BENIGN,rec_DOS,rec_GAS,rec_RPM,rec_SPEED,rec_STEERING_WHEEL,f1_BENIGN,f1_DOS,f1_GAS,f1_RPM,f1_SPEED,f1_STEERING_WHEEL,support_BENIGN,support_DOS,support_GAS,support_RPM,support_SPEED,support_STEERING_WHEEL
73a1d6db-c763-4ab2-8ca6-58602f55cf56,97.9303,0.219098,61.0868,100.0,100.0,100.0,0.0,50.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,67.0,0.0,4794,400,100,106,100,8
73a1d6db-c763-4ab2-8ca6-58602f55cf56,95.8166,0.33072,58.3173,100.0,100.0,100.0,0.0,33.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,50.0,0.0,4164,400,100,200,100,8
2fb338ac-fa18-4dc8-8cd2-8dad737c85f8,91.9549,0.967395,33.3895,95.0,80.0,0.0,0.0,0.0,7.0,100.0,100.0,0.0,0.0,0.0,100.0,98.0,89.0,0.0,0.0,0.0,14.0,4164,400,100,200,100,8
6c128cd4-4eb8-437a-aa7f-49baadec53c0,95.8166,0.271141,66.1108,95.0,98.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,98.0,99.0,100.0,0.0,100.0,0.0,4164,400,100,200,100,8
937cf800-d4c8-41a1-99c1-6d7e2609036e,99.8391,0.078016,83.3173,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,4164,400,100,200,100,8
e5f339b8-79f6-497e-aef8-0804bb7a72fa,93.8053,0.971248,61.8311,100.0,56.0,100.0,0.0,100.0,0.0,98.0,100.0,100.0,0.0,100.0,0.0,99.0,72.0,100.0,0.0,100.0,0.0,4164,400,100,200,100,8
5e972358-bcdd-44b4-8632-82d1ac9ce0b2,38.033,3.027465,44.9081,100.0,13.0,0.0,100.0,0.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,47.0,22.0,0.0,100.0,0.0,100.0,4164,400,100,200,100,8
e24c6ed3-10b6-4f4b-b0f4-b120543ee53c,15.185,2.900258,13.8975,72.0,12.0,0.0,50.0,0.0,0.0,6.0,100.0,0.0,50.0,0.0,0.0,11.0,22.0,0.0,50.0,0.0,0.0,4164,400,100,200,100,8
39717eba-677b-4770-ab89-fbd0658362d3,87.7715,0.636357,34.9174,100.0,0.0,50.0,28.0,0.0,0.0,98.0,0.0,100.0,100.0,0.0,0.0,99.0,0.0,67.0,44.0,0.0,0.0,4164,400,100,200,100,8
4429c024-0b87-4609-9cfc-1eaed92194b4,89.7828,0.562452,37.9307,89.0,100.0,0.0,100.0,0.0,0.0,100.0,50.0,0.0,50.0,0.0,0.0,94.0,67.0,0.0,67.0,0.0,0.0,4164,400,100,200,100,8
